	SNP	Chromosome	Position	trait1
2165176	rs10000692	4	122078317	0.34398608034047
1812754	rs10006362	4	3319271	0.179928563622468
2769179	rs10037554	5	140568114	0.942701472193298
2395397	rs10041393	5	6494769	0.838020593987896
2796536	rs10042608	5	150696496	0.998871621209031
3979474	rs10046724	8	27880155	0.139092075412301
1176773	rs1004814	2	218712306	0.917440685309323
7591039	rs1006771	22	24314006	0.764626402514882
2621979	rs10069050	5	89820984	0.584496817692124
2671518	rs10075272	5	107717685	0.0615810319757678
4114143	rs10088860	8	81881160	0.251267249328106
7686551	rs1009758	X	11157535	0.790233418505133
5432640	rs1012672	12	12284915	0.210196703089454
5770444	rs10128884	12	132621624	0.992347077487666
3051743	rs1013501	6	47664399	0.179235571227189
6169691	rs10138395	14	55819219	0.151517448840705
7474742	rs1014266	21	15673444	0.433965176883022
2179132	rs1014867	4	126412891	0.00373428362342709
6195426	rs10151127	14	64494278	0.723987583220754
6098316	rs10162516	14	32328698	0.0851941704947598
1201302	rs10178458	2	228111435	0.876275800471073
3329218	rs10192	6	145174098	0.444014401002101
7177070	rs1019757	19	8389520	0.181957025540111
5498430	rs1020670	12	32896615	0.445236813532257
619744	rs10206877	2	8439905	0.00995375598121127
3582888	rs10230120	7	51097063	0.138125301353798
3420142	rs10240036	7	2486368	0.285273565236809
3612442	rs10243954	7	63981563	0.917272426585855
3564427	rs10249706	7	45761351	0.258462987134255
3641791	rs10261314	7	76023029	0.117135949830667
3702282	rs10277447	7	99006763	0.550918097008302
3417256	rs10280178	7	1585603	0.539289058685986
4347141	rs1032474	9	14775853	0.703397108169234
3000525	rs1033500	6	32307382	2.20196330974733e-31
5861823	rs10397	13	48516845	0.423570693611483
7212813	rs10404622	19	21934891	0.321624242916394
7239081	rs10408300	19	33311992	0.642606830444161
6280864	rs1040835	14	93276654	0.96040228459637
7163305	rs10413272	19	2860091	0.043245563639496
7288374	rs10413435	19	52729030	0.0181990647667558
7159785	rs10419707	19	1038445	0.0901871343334663
2922564	rs1042054	6	12164612	0.598640642475134
7159300	rs10422347	19	804959	0.287139102106022
3008041	rs1042308	6	33036853	5.46396212333506e-11
7192963	rs10424547	19	15133787	0.0810228345645539
7290945	rs10425073	19	53642708	0.580577477297267
7285414	rs10426247	19	51986547	0.909628051692628
916767	rs1042656	2	120197670	0.825235186257523
463441	rs1042831	1	205043250	0.313305915117263
7572744	rs1042917	21	47545768	0.295287531851398
2542006	rs1043020	5	57749915	0.842794354411576
7751720	rs1043034	X	54836505	0.850420796389367
6676312	rs1043470	16	69737908	0.0730576525701786
1179727	rs1043537	2	220431631	0.937163648905871
6761785	rs1043592	17	4067315	0.159299415759904
3941565	rs1043885	8	17503270	0.110328677232775
47069	rs1043905	1	19411129	0.376781107500672
7193438	rs1044055	19	15270805	0.623825746478039
4414269	rs10441724	9	35659440	0.732725276315701
4731308	rs1044210	10	33467321	0.136630346877557
6366296	rs1044474	15	40845952	0.264075873992432
3296964	rs1044498	6	132172368	0.931033355445398
3427080	rs1044701	7	4305834	0.767190094959912
481598	rs1044788	1	211917059	0.306362389649046
851799	rs1044973	2	85553784	0.391798182201606
6773714	rs1045172	17	8225768	0.219144732330755
5015241	rs1045288	11	237087	0.490701360827805
2794173	rs1045538	5	149932934	0.647568832875371
6462190	rs10456	15	78398146	0.583520293420469
3560237	rs1045776	7	44253385	0.867297040114899
6755350	rs1045794	17	1640709	0.893334733393919
401418	rs1045971	1	182798924	0.891681866017858
5865859	rs1046028	13	50107289	0.141499035113694
2575318	rs1046064	5	72386139	0.248269021357505
2997839	rs1046080	6	31595882	0.0140280735524655
6839205	rs1046097	17	40818699	0.232535636799261
7270417	rs1046282	19	45910672	0.320641747780074
4984307	rs1046373	10	126674689	0.861560937712601
6470192	rs1046417	15	81047404	0.0958849010856369
4954908	rs1046492	10	116624067	0.592720954022765
4838039	rs10466026	10	73550969	0.809743350640652
6449370	rs10468050	15	72073939	0.906107955619622
2075612	rs1046994	4	90874879	0.254105664013123
3845585	rs1047053	7	154684971	0.627610537153516
2585456	rs1047530	5	75911399	0.630526103259595
2056179	rs1047564	4	83840906	0.534600682696041
7182393	rs1048287	19	10610236	0.230402967985441
532725	rs1048306	1	229795070	0.372179399693681
2847699	rs1048307	5	168093522	0.213440401995834
3705396	rs1048365	7	100804430	0.709416966855564
3326977	rs10484815	6	144145051	0.457976714193915
189442	rs1048575	1	77558057	0.00400980833546646
6453722	rs1048661	15	74219546	0.0819006568286926
7145304	rs1048871	18	74691951	0.227646199488269
3003572	rs1049133	6	32629847	3.81637444229873e-07
3518048	rs1049393	7	29960812	0.249858088859001
4357491	rs1049430	9	17796668	0.20861786176172
2988409	rs1049633	6	30867527	1.15978012368969e-190
1392180	rs1049667	3	46623690	0.856116283818477
6988316	rs1049684	18	21739725	0.947143126162592
5198418	rs1049728	11	65421117	0.190885886409843
1124517	rs10497806	2	198508951	0.0446925099121252
6573692	rs1050068	16	11769948	0.585617888800959
958895	rs1050115	2	136511817	0.311248135917765
803583	rs1050181	2	68622952	0.342680107654008
3177342	rs10502	6	90039670	0.921883692631843
5944548	rs1050235	13	76100639	0.395368259059637
7016732	rs10502637	18	32469970	0.219934891103146
4148846	rs1050627	8	95261693	0.638561829964451
321495	rs1050923	1	153517172	0.818501062732367
2884229	rs1050975	6	408012	0.0923660625126898
1298547	rs10510437	3	15091248	0.701686855565327
104371	rs1051097	1	43824865	0.732311287193865
6074155	rs1051101	14	23058084	0.607054827901727
3962823	rs1051155	8	23154989	0.797520012124682
4518587	rs10512282	9	104334333	0.960522849645856
6755843	rs1051315	17	1801137	0.667830789113432
6755844	rs1051318	17	1801138	0.677498848385722
236792	rs1051394	1	94335194	0.221192009128737
7179701	rs10515	19	9523724	0.35595075091639
6209405	rs1051533	14	69259662	0.283982473188049
522674	rs1051741	1	226032229	0.976741162590229
6936089	rs1051855	17	80561324	0.810136554943762
3637862	rs1051921	7	73007943	0.873381814734078
2247769	rs10520102	4	152147441	0.531515135604754
6580079	rs10521099	16	13333811	0.109924946424299
1142619	rs1052190	2	206980474	0.244946754330009
6647139	rs1052276	16	58314598	0.999202115572178
916318	rs1052500	2	120060082	0.38132031428307
6790773	rs1052686	17	14207430	0.390971956081829
7365358	rs1053834	20	18794714	0.51789013716551
2260048	rs1053915	4	156652495	0.390855782317829
7204605	rs1054284	19	19616953	0.268857269138753
2104178	rs1054730	4	100470132	0.599806393337248
5013830	rs1054776	10	135055349	0.468881360899736
7575832	rs1054945	22	17539544	0.77533523817833
7374542	rs1055080	20	22562438	0.697028103626764
20331	rs1055236	1	8404093	0.874170368930285
4608711	rs1055432	9	136324239	0.402313673465935
3127980	rs1055745	6	73933501	1
2230506	rs1055808	4	144478541	0.753960496290758
7324559	rs1056141	20	6096632	0.191958615051128
6751761	rs1056401	17	416724	0.972982898513954
7626423	rs1056680	22	36003053	0.71039272755353
7316811	rs1056720	20	3784110	0.417806456845177
5609104	rs1056905	12	75893388	0.817960058950276
3709862	rs1057066	7	102574920	0.94083323296702
6460658	rs1058129	15	77905661	0.706233734588781
4850010	rs1058202	10	79552151	0.323057492899367
7264840	rs1058259	19	43680269	0.507571185211879
1179530	rs1058261	2	220285309	0.0606753756045347
4562803	rs1058278	9	117406601	0.950762324688999
4115819	rs1058401	8	82570631	0.14582280562276
7202400	rs1058587	19	18499422	0.26372673583956
3641563	rs1058872	7	75933501	0.108742709206863
