	SNP	Chromosome	Position	trait1
213056	rs10046724	8	27880155	0.664
137048	rs10069050	5	89820984	0.055
219261	rs10088860	8	81881160	0.045
336199	rs10138395	14	55819219	0.492
113171	rs1014867	4	126412891	0.381
63397	rs10178458	2	228111435	0.923
176584	rs10192	6	145174098	0.417
33651	rs10206877	2	8439905	0.624
159293	rs1033500	6	32307382	0.003
398843	rs10404622	19	21934891	0.572
342305	rs1040835	14	93276654	0.777
398341	rs10424547	19	15133787	0.254
174430	rs1044498	6	132172368	0.011
372200	rs1044874	16	84512578	0.43
295243	rs1045733	12	15260993	0.339
176401	rs10484815	6	144145051	0.242
387341	rs1049684	18	21739725	0.816
59186	rs10497806	2	198508951	0.625
69268	rs10510437	3	15091248	0.315
330755	rs1051101	14	23058084	0.528
365995	rs1052276	16	58314598	0.949
49026	rs1052500	2	120060082	0.626
407885	rs1053834	20	18794714	0.683
117200	rs1053915	4	156652495	0.063
408685	rs1055080	20	22562438	0.704
808	rs1055236	1	8404093	0.066
404629	rs1056141	20	6096632	0.739
423662	rs1056680	22	36003053	0.941
163615	rs1056706	6	52363728	0.668
404043	rs1056720	20	3784110	0.64
74691	rs1058961	3	45865006	0.712
196236	rs1063964	7	87835469	0.107
287092	rs10749920	11	108383676	0.253
231434	rs10759007	9	8859986	0.771
308266	rs10778148	12	102158763	0.422
300829	rs10783528	12	53088484	0.162
2570	rs10799790	1	23418153	0.961
16132	rs10847	1	150782797	1
266704	rs10883887	10	105357181	0.852
288052	rs10891692	11	114393652	0.212
233228	rs10961700	9	14776140	0.68
231285	rs10977171	9	8518052	0.145
271220	rs11016071	10	129901393	0.265
271172	rs11018397	10	129705394	0.844
297004	rs11047654	12	24967846	0.679
373200	rs11062	17	1683012	0.454
96014	rs1106502	3	195517258	0.881
73841	rs1109643	3	39139776	0.296
74914	rs11130296	3	51812952	0.757
171241	rs11153174	6	109674055	0.399
268560	rs11197514	10	117817612	0.99
85876	rs1126828	3	128344786	0.966
96241	rs1127410	4	533001	0.786
410898	rs1127497	20	44038574	0.476
295175	rs11276	12	14993439	0.316
58720	rs1128965	2	192700400	0.795
221432	rs1130569	8	100899793	0.5
46145	rs1130866	2	85893741	0.493
318890	rs11342	13	46700642	0.161
7215	rs1134767	1	62456014	0.407
43960	rs11466285	2	70677439	0.545
200227	rs1147504	7	121653398	0.783
377174	rs11558976	17	31258520	0.972
31906	rs11583410	1	247614896	0.061
272930	rs11604149	11	6519642	0.094
372070	rs11646443	16	84270476	0.278
358278	rs11648609	16	1616201	0.142
381389	rs11649752	17	65026886	0.451
398591	rs11666267	19	17660300	0.737
58719	rs11681727	2	192700398	0.426
49064	rs11686014	2	120409616	0.093
384998	rs11795	18	5238442	0.128
390627	rs11877062	18	43307246	0.509
38802	rs11885000	2	42163072	0.961
61486	rs11891673	2	216477172	0.335
140281	rs11950135	5	115781876	0.532
347536	rs1200349	15	41821752	0.068
14692	rs12033257	1	112318484	0.869
142841	rs12163993	5	133887780	0.838
158197	rs12179536	6	30993590	0.672
293999	rs12230214	12	9346792	0.323
296109	rs12305038	12	20522252	0.135
383654	rs12450046	17	80790388	0.736
402277	rs12462929	19	53344426	0.186
85091	rs12489170	3	122354792	0.737
143448	rs12515688	5	140480852	0.872
292360	rs12582823	12	551642	0.471
351436	rs12595292	15	65153690	0.399
373572	rs12600437	17	4997433	0.495
389261	rs12607773	18	33754507	0.923
403386	rs12624954	20	139456	0.345
145101	rs12653083	5	150157947	0.945
195612	rs12668093	7	82435033	0.485
338134	rs12879105	14	68214788	0.388
402343	rs12972121	19	53667295	0.579
402773	rs12975929	19	56392920	0.329
